udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
5714,L52893,L,302.2,311.9,1596,38,156,No Failure
3218,L50397,L,300.6,309.5,2025,21.4,64,No Failure
2403,L49582,L,299.2,308.7,1325,51,171,No Failure
5161,L52340,L,304.1,313.2,1434,50.1,43,No Failure
6916,L54095,L,301,311.4,1484,36.2,188,No Failure
6408,M21267,M,300.3,309.9,1611,29,177,No Failure
7212,L54391,L,299.8,309.7,1431,40.3,101,No Failure
2449,L49628,L,299.4,308.9,1440,42.5,87,No Failure
5921,L53100,L,300.5,310.2,1764,25.9,27,No Failure
5426,L52605,L,302.5,312.2,1775,27.9,56,No Failure
9678,L56857,L,299,310.1,2033,19.3,15,No Failure
3748,L50927,L,302.5,311.1,1499,38.8,135,No Failure
7936,M22795,M,300.8,311.9,1356,44.3,214,No Failure
4022,H33435,H,302.1,310.9,1452,42.5,198,No Failure
2044,M16903,M,299.2,309,1597,30.3,115,No Failure
3817,L50996,L,302.1,310.6,1459,47.6,93,No Failure
3848,M18707,M,302.3,311,1450,45.7,175,No Failure
8811,M23670,M,297.3,308.5,1625,32.8,92,No Failure
4058,L51237,L,302,310.9,1495,38.6,52,No Failure
312,M15171,M,298,308.6,1453,44.1,165,No Failure
7654,L54833,L,300.4,311.5,1492,44.6,149,No Failure
1369,H30782,H,298.8,310.3,1708,27.1,78,No Failure
4886,H34299,H,303.8,312.5,1748,25.1,175,No Failure
2386,L49565,L,299.1,308.3,1524,34.1,128,No Failure
7680,L54859,L,300.7,311.7,1635,32.4,213,No Failure
6788,H36201,H,301.1,310.6,1388,58.5,68,No Failure
5405,H34818,H,302.8,312.5,1422,46.1,4,No Failure
363,H29776,H,297.6,308.3,1640,30.9,79,No Failure
4565,L51744,L,302.8,310.8,1516,39.5,23,No Failure
177,L47356,L,298.2,308.1,1618,34.7,39,No Failure
1433,L48612,L,298.8,309.8,1437,42.8,23,No Failure
2142,M17001,M,299.3,308.9,1577,34.9,160,No Failure
3173,M18032,M,300.3,309.6,1488,41.3,172,No Failure
987,H30400,H,296.4,307.1,1638,32.5,146,No Failure
4889,L52068,L,303.7,312.4,1512,39.2,184,No Failure
8336,M23195,M,299,309.8,2240,15.9,144,No Failure
9946,L57125,L,298.3,308,1578,37.8,101,No Failure
2141,L49320,L,299.3,309,1419,46.6,158,No Failure
7628,L54807,L,300.5,311.7,1445,44.8,83,No Failure
8394,L55573,L,298.5,309.5,1428,43.5,87,No Failure
8757,L55936,L,297.5,308.7,1761,26.2,164,No Failure
7811,L54990,L,300.1,311.5,2218,17,123,No Failure
8165,L55344,L,299.6,310.9,1472,40.9,137,No Failure
5156,H34569,H,304.2,313.3,1625,37.3,27,No Failure
3646,L50825,L,302.2,311.5,1413,43.5,83,No Failure
2157,M17016,M,299.4,308.9,1457,41.5,201,No Failure
6596,M21455,M,301.5,310.7,1460,38.6,14,No Failure
3230,L50409,L,300.6,309.4,1442,43.2,96,No Failure
9801,H39214,H,298.5,309.3,1421,50.3,124,No Failure
7158,L54337,L,300.2,310,1486,40.1,182,No Failure
6002,M20861,M,300.4,310.2,1380,47.3,5,No Failure
8510,M23369,M,298.4,309.7,1870,22.5,170,No Failure
7880,M22739,M,300.8,312.3,1535,40.3,71,No Failure
9442,L56621,L,298.1,308.8,1432,43.4,68,No Failure
1491,L48670,L,298.2,309,1341,43.8,171,No Failure
460,L47639,L,297.4,308.6,1476,42.3,107,No Failure
3574,L50753,L,301.8,310.6,1452,48.4,110,No Failure
8883,L56062,L,298,309.2,1378,49.7,94,No Failure
1951,M16810,M,298,307.9,1479,47.6,76,No Failure
2325,L49504,L,299.3,308.8,1636,29.9,201,No Failure
737,L47916,L,296.9,308.3,1555,38.2,175,No Failure
1591,L48770,L,298.2,308.4,1497,37.7,207,No Failure
4933,L52112,L,303.3,312.1,1418,44.7,83,No Failure
5437,M20296,M,302.9,312.5,1679,30.9,79,No Failure
4198,L51377,L,302.4,311,1573,36.5,193,No Failure
15,L47194,L,298.6,309.2,2035,19.6,40,No Failure
5719,L52898,L,302.4,312,1621,32.5,169,No Failure
7695,H37108,H,300.6,311.7,1500,36.7,17,No Failure
9062,M23921,M,297.2,308.4,1863,26,110,No Failure
3847,L51026,L,302.3,310.9,1403,47.2,173,No Failure
1043,L48222,L,296.6,307.6,1542,37.4,88,No Failure
1388,L48567,L,298.9,310.1,1823,26.1,131,No Failure
4300,L51479,L,301.7,310.1,1402,50.1,3,No Failure
3062,L50241,L,300.1,309.1,1353,58.7,86,No Failure
7140,L54319,L,300.6,310.1,1495,42.3,132,No Failure
1087,L48266,L,297,307.9,1455,49,204,No Failure
8225,L55404,L,299.1,310.5,1496,35.2,60,No Failure
8697,L55876,L,297.2,308.6,1413,49.8,12,No Failure
2510,L49689,L,299,308.9,1511,35.9,16,No Failure
2484,M17343,M,298.9,308.7,1402,49.8,167,No Failure
6136,L53315,L,301,310.9,1740,28.9,129,No Failure
8072,L55251,L,300.5,312,1646,29.5,106,No Failure
5468,L52647,L,302.9,312.4,1383,51.4,160,No Failure
1537,M16396,M,298.2,308.9,1326,54.4,75,No Failure
1372,M16231,M,298.7,310.3,1495,38.7,88,No Failure
9153,L56332,L,297.5,308.6,1260,53.6,137,No Failure
7834,L55013,L,300,311.4,1604,38.7,185,No Failure
2535,L49714,L,298.9,308.7,1729,26.6,73,No Failure
641,M15500,M,297.9,309.6,1515,38.8,124,No Failure
8544,M23403,M,298.5,309.4,1365,48.7,56,No Failure
8590,M23449,M,297.3,307.8,1538,48,171,No Failure
7368,M22227,M,299.5,310.1,1359,61.1,67,No Failure
778,L47957,L,296.7,307.8,1382,47.5,37,No Failure
6015,H35428,H,300.8,310.8,1618,32.8,40,No Failure
50,M14909,M,298.9,309.2,1412,44.1,140,No Failure
4915,M19774,M,303.5,312.3,1532,41.7,32,No Failure
7937,L55116,L,300.8,311.7,1490,46.4,217,No Failure
6097,M20956,M,300.8,310.7,1483,40.8,28,No Failure
4855,L52034,L,303.7,312.2,1568,33.8,96,No Failure
8491,M23350,M,298.5,309.6,1364,58.7,123,No Failure
3268,L50447,L,301.3,310,1550,41.5,197,No Failure
2860,L50039,L,300.6,309.4,1549,43.4,233,No Failure
2882,M17741,M,300.6,309.6,1588,37,50,No Failure
7921,L55100,L,300.8,312,1382,49.3,177,No Failure
1532,H30945,H,298.1,309,1438,41.4,60,No Failure
773,H30186,H,296.8,308,1453,51,24,No Failure
410,L47589,L,297.4,308.6,1459,41.3,196,No Failure
9968,M24827,M,298.3,307.9,1609,32.4,151,No Failure
1451,M16310,M,299,310.3,1447,39.9,78,No Failure
7872,L55051,L,300.6,312.2,1308,54.7,52,No Failure
1248,L48427,L,297.2,308.5,1513,42.9,212,No Failure
4169,L51348,L,302.2,310.6,1632,30.5,122,No Failure
7251,M22110,M,300.1,310.2,1429,42,206,No Failure
1645,L48824,L,298,307.8,1622,33.3,121,No Failure
4112,M18971,M,302,310.6,1563,41,184,No Failure
7632,L54811,L,300.5,311.6,1444,49.3,92,No Failure
3533,L50712,L,301.9,310.9,1486,40.3,6,No Failure
483,L47662,L,297.3,309,1548,37.4,171,No Failure
3047,M17906,M,300.2,309.4,1501,40,48,No Failure
3287,L50466,L,301.2,310,1618,37.6,32,No Failure
2653,L49832,L,299.9,309.5,1772,23.5,167,No Failure
3770,M18629,M,302.2,311,1436,47,187,No Failure
9111,M23970,M,297.6,308.6,1389,49,34,No Failure
4585,L51764,L,302.8,311.1,1550,32.3,76,No Failure
9986,H39399,H,298.7,308.5,1572,35.6,202,No Failure
8709,M23568,M,297.2,308.5,1364,54,43,No Failure
8708,L55887,L,297.2,308.5,1471,41.7,41,No Failure
8229,M23088,M,299.1,310.4,1422,49.3,69,No Failure
4790,L51969,L,303.8,312.8,1646,35.8,143,No Failure
6530,L53709,L,301.3,310.6,1481,40.9,57,No Failure
4298,M19157,M,301.8,310.2,1609,34.2,217,No Failure
5513,L52692,L,302.8,312.2,1682,30.9,58,No Failure
2831,M17690,M,300.4,309.3,1411,41.6,160,No Failure
879,M15738,M,295.7,306.3,1685,34.9,84,No Failure
7180,L54359,L,300.2,310.1,1523,42.3,25,No Failure
5599,L52778,L,302.8,312.1,1441,52.1,79,No Failure
2686,L49865,L,299.8,309.4,1609,32.5,27,No Failure
2159,M17018,M,299.5,309,1399,49.7,207,No Failure
706,L47885,L,297.7,309,1507,38.2,94,No Failure
7650,H37063,H,300.4,311.5,1662,29,137,No Failure
6299,L53478,L,301.1,310.5,1428,44.1,103,No Failure
6358,L53537,L,300.2,309.8,1398,54.8,39,No Failure
9683,L56862,L,299.1,310,1394,46.6,27,No Failure
977,M15836,M,296,306.6,1392,51.3,124,No Failure
1255,H30668,H,297.5,308.8,1430,49.4,2,No Failure
7580,L54759,L,300.4,311.2,1436,56.8,173,No Failure
3666,M18525,M,302.4,311.8,1358,50.6,133,No Failure
9555,M24414,M,299.3,310.7,1440,45.5,146,No Failure
3655,L50834,L,302.1,311.4,1603,35.9,104,No Failure
6022,L53201,L,300.7,310.8,1814,21.4,59,No Failure
7835,L55014,L,300,311.4,1483,45.6,187,No Failure
9233,L56412,L,298.2,309.1,1350,52,136,No Failure
9400,L56579,L,297.8,308.3,1477,44.8,170,No Failure
3712,L50891,L,302.2,311.5,1543,38.5,37,No Failure
4899,H34312,H,303.6,312.4,1460,53.7,214,Overstrain Failure
4639,L51818,L,303.1,311.3,1474,34.8,215,No Failure
7171,M22030,M,300.3,310.2,1442,39.5,4,No Failure
8892,M23751,M,297.7,308.9,1681,28.3,116,No Failure
8223,L55402,L,299,310.5,1755,27.9,56,No Failure
8551,L55730,L,298.3,309.2,1456,45.5,75,No Failure
3194,L50373,L,300,309.1,1401,44.5,0,No Failure
8902,L56081,L,297.3,308.6,1446,50.1,144,No Failure
6990,M21849,M,300.7,311.1,1608,35.3,167,No Failure
8650,L55829,L,297.4,308.4,1328,61.8,98,No Failure
3820,L50999,L,302.2,310.7,1567,36.4,100,No Failure
1072,L48251,L,296.9,307.8,1425,49.1,163,No Failure
9531,H38944,H,299.1,310.4,1405,53.6,86,No Failure
2868,H32281,H,300.7,309.6,1390,48.5,7,No Failure
472,H29885,H,297.3,308.8,1419,42.4,139,No Failure
9923,H39336,H,298.6,308.8,1566,39.1,36,No Failure
8260,L55439,L,299.1,310.5,1471,38.4,146,No Failure
9121,L56300,L,297.4,308.4,1525,38.7,62,No Failure
1209,L48388,L,297,308.1,1489,44.1,96,No Failure
4232,L51411,L,302.2,310.8,1340,47.8,54,Heat Dissipation Failure
3980,L51159,L,302.3,311.3,1439,41.8,96,No Failure
4110,M18969,M,301.9,310.6,1475,47.8,179,No Failure
4517,L51696,L,302.5,310.3,1539,39,119,No Failure
6161,L53340,L,301,310.9,1570,34,192,No Failure
1219,M16078,M,297,308.2,1702,30.7,124,No Failure
7127,M21986,M,300.6,310,1542,33.9,100,No Failure
91,L47270,L,298.9,308.9,1753,25.8,33,No Failure
9898,L57077,L,298.8,309.3,1357,47.1,176,No Failure
8566,L55745,L,298,308.8,1489,36.5,109,No Failure
1957,M16816,M,297.9,307.7,1364,46.8,89,No Failure
9283,M24142,M,298.2,308.9,1414,44.3,68,No Failure
502,M15361,M,297.6,309.3,1464,46.2,218,No Failure
3088,M17947,M,300,309.1,1474,45.2,152,No Failure
2181,H31594,H,299.6,309.2,1597,36.3,35,No Failure
2559,M17418,M,299.2,309,1881,23.9,137,No Failure
2103,L49282,L,299.3,309.3,1325,62,47,No Failure
757,L47936,L,296.8,308,1584,40.4,227,No Failure
9018,M23877,M,297.3,308.1,1369,52,214,Overstrain Failure
6220,H35633,H,301.1,310.6,1407,43.9,111,No Failure
6557,L53736,L,301.5,310.7,1686,27.9,135,No Failure
5244,L52423,L,303.7,313.1,1721,34.8,50,No Failure
7260,M22119,M,300.4,310.5,1500,43,9,No Failure
